MOVIES,GENRE
Blood Red Sky,"Action, Horror, Thriller"
Masters of the Universe: Revelation,"Animation, Action, Adventure"
The Walking Dead,"Drama, Horror, Thriller"
Rick and Morty,"Animation, Adventure, Comedy"
Army of Thieves,"Action, Crime, Horror"
Outer Banks,"Action, Crime, Drama"
The Last Letter from Your Lover,"Drama, Romance"
Dexter,"Crime, Drama, Mystery"
Never Have I Ever,Comedy
Virgin River,"Drama, Romance"
Gunpowder Milkshake,"Action, Adventure, Thriller"
Lucifer,"Crime, Drama, Fantasy"
Fear Street: 1994,"Drama, Horror, Mystery"
Sex/Life,"Comedy, Drama, Romance"
American Horror Story,"Drama, Horror, Thriller"
Grey's Anatomy,"Drama, Romance"
Breaking Bad,"Crime, Drama, Thriller"
The Good Doctor,Drama
Atypical,"Comedy, Drama"
Stranger Things,"Drama, Fantasy, Horror"
Fear Street: 1978,"Drama, Horror, Mystery"
Friends,"Comedy, Romance"
The Flash,"Action, Adventure, Drama"
Peaky Blinders,"Crime, Drama"
He-Man and the Masters of the Universe,"Animation, Action, Adventure"
Chernobyl,"Drama, History, Romance"
Vikings,"Action, Adventure, Drama"
Better Call Saul,"Crime, Drama"
Supernatural,"Drama, Fantasy, Horror"
The Blacklist,"Crime, Drama, Mystery"
Fear Street: 1666,"Horror, Mystery"
Animal Kingdom,"Crime, Drama"
Brooklyn Nine-Nine,"Comedy, Crime"
NCIS: Naval Criminal Investigative Service,"Action, Crime, Drama"
Kingdom,"Action, Drama, History"
Modern Family,"Comedy, Drama, Romance"
Titans,"Action, Adventure, Crime"
The Witcher,"Action, Adventure, Fantasy"
Downton Abbey,"Drama, Romance"
Shingeki no kyojin,"Animation, Action, Adventure"
Suits,"Comedy, Drama"
La casa de papel,"Action, Crime, Mystery"
Schitt's Creek,Comedy
Outlander,"Drama, Fantasy, Romance"
The Last Kingdom,"Action, Drama, History"
Black Mirror,"Drama, Sci-Fi, Thriller"
Ozark,"Crime, Drama, Thriller"
The Crown,"Biography, Drama, History"
Sweet Tooth,"Action, Adventure, Drama"
Army of the Dead,"Action, Crime, Horror"
Fargo,"Crime, Drama, Thriller"
How I Met Your Mother,"Comedy, Romance"
Community,Comedy
Sons of Anarchy,"Crime, Drama, Thriller"
StartUp,"Crime, Thriller"
The Vampire Diaries,"Drama, Fantasy, Horror"
365 dni,"Drama, Romance"
How to Sell Drugs Online (Fast),"Comedy, Crime, Drama"
Good Girls,"Comedy, Crime, Drama"
13 Reasons Why,"Drama, Mystery, Thriller"
The Queen's Gambit,Drama
Legends of Tomorrow,"Action, Adventure, Drama"
Star Trek: The Next Generation,"Action, Adventure, Mystery"
Le dernier mercenaire,"Action, Comedy"
Resort to Love,"Comedy, Romance"
Evil,"Crime, Drama, Horror"
The Expanse,"Drama, Mystery, Sci-Fi"
New Amsterdam,Drama
Line of Duty,"Crime, Drama, Mystery"
The 100,"Drama, Mystery, Sci-Fi"
New Girl,Comedy
Prison Break,"Action, Crime, Drama"
