MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,DIRECTOR
Blood Red Sky,2021,"Action, Horror, Thriller",6.1,"Director:Peter Thorwarth| Peri Baumeister, Carl Anton Koch, Alexander Scheer, Kais Setti",21062,121,
Masters of the Universe: Revelation,2021– ,"Animation, Action, Adventure",5.0,"Chris Wood, Sarah Michelle Gellar, Lena Headey, Mark Hamill",17870,25,
The Walking Dead,2010–2022,"Drama, Horror, Thriller",8.2,"Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",885805,44,
Rick and Morty,2013– ,"Animation, Adventure, Comedy",9.2,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",414849,23,
Army of Thieves,2021,"Action, Crime, Horror",,"Director:Matthias Schweighöfer| Matthias Schweighöfer, Nathalie Emmanuel, Ruby O. Fee, Stuart Martin",0,0,
Outer Banks,2020– ,"Action, Crime, Drama",7.6,"Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss",25858,50,
The Last Letter from Your Lover,2021,"Drama, Romance",6.8,"Director:Augustine Frizzell| Shailene Woodley, Joe Alwyn, Wendy Nottingham, Felicity Jones",5283,110,
Dexter,2006–2013,"Crime, Drama, Mystery",8.6,"Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",665387,53,
Never Have I Ever,2020– ,Comedy,7.9,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet, John McEnroe",34530,30,
Virgin River,2019– ,"Drama, Romance",7.4,"Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Tim Matheson",27279,44,
Gunpowder Milkshake,2021,"Action, Adventure, Thriller",6.0,"Director:Navot Papushado| Karen Gillan, Lena Headey, Carla Gugino, Michelle Yeoh",17989,114,
Lucifer,2016–2021,"Crime, Drama, Fantasy",8.1,"Tom Ellis, Lesley-Ann Brandt, Lauren German, D.B. Woodside",264222,42,
Fear Street: 1994,2021,"Drama, Horror, Mystery",6.2,"Director:Leigh Janiak| Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr., Julia Rehwald",50148,107,
Sex/Life,2021– ,"Comedy, Drama, Romance",5.4,"Sarah Shahi, Mike Vogel, Adam Demos, Margaret Odette",12172,0,
American Horror Story,2011– ,"Drama, Horror, Thriller",8.0,"Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson",286488,60,
Grey's Anatomy,2005– ,"Drama, Romance",7.5,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",266258,41,
Breaking Bad,2008–2013,"Crime, Drama, Thriller",9.4,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",1552311,49,
The Good Doctor,2017– ,Drama,8.1,"Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas",70871,41,
Atypical,2017–2021,"Comedy, Drama",8.3,"Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine, Michael Rapaport",71544,30,
